# Source: HM Land Registry Price Paid Data. Crown copyright and database right 2026.
# Licence: Open Government Licence v3.0 (https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/)
# Compiled by Ranking Atlas, ranking-atlas.com
quarter,Old Oak Common_median,Old Oak Common_n,Old Oak Common_index,Birmingham Curzon St_median,Birmingham Curzon St_n,Birmingham Curzon St_index,Crewe_median,Crewe_n,Crewe_index,Manchester Piccadilly_median,Manchester Piccadilly_n,Manchester Piccadilly_index,Manchester Airport_median,Manchester Airport_n,Manchester Airport_index,Staffs corridor_median,Staffs corridor_n,Staffs corridor_index,Toton / East Midlands hub_median,Toton / East Midlands hub_n,Toton / East Midlands hub_index,Sheffield Midland_median,Sheffield Midland_n,Sheffield Midland_index,Leeds_median,Leeds_n,Leeds_index,england_median,england_n,england_index_2012,england_index_2013
Q2 2021,535000,668,163.4,244170,152,205.2,180000,593,152.5,220000,321,200.0,340000,550,183.5,240000,633,150.0,235000,470,177.4,130000,319,133.3,140000,345,144.6,292000,379126,166.9,163.6
Q3 2021,532000,413,162.4,232009,97,195.0,180000,648,152.5,187250,230,170.2,289975,418,156.5,226748,572,141.7,225000,428,169.8,125250,277,128.5,149950,344,154.8,245000,301223,140.0,137.3
Q4 2021,519000,354,158.5,240000,90,201.7,172879,515,146.5,234446,406,213.1,286000,326,154.4,225125,508,140.7,243500,282,183.8,136472,246,140.0,135000,249,139.4,250000,250348,142.9,140.1
Q1 2022,517500,422,158.0,235500,415,197.9,180000,460,152.5,227955,304,207.2,270000,343,145.7,230000,427,143.8,235995,301,178.1,142500,326,146.2,144500,304,149.2,265000,247069,151.4,148.5
Q2 2022,537500,468,164.1,273069,198,229.5,204498,486,173.3,222856,214,202.6,335000,363,180.8,250000,459,156.3,248000,291,187.2,157000,357,161.0,150000,291,154.9,275000,258101,157.1,154.1
Q3 2022,560000,609,171.0,250000,184,210.1,192475,505,163.1,211900,220,192.6,326250,388,176.1,246450,502,154.0,257000,327,194.0,130000,343,133.3,149500,350,154.4,292000,286376,166.9,163.6
Q4 2022,545000,749,166.4,272475,152,229.0,213248,538,180.7,200000,175,181.8,335000,354,180.8,260000,567,162.5,270000,294,203.8,150000,296,153.8,155000,280,160.0,290000,280519,165.7,162.5
Q1 2023,546000,333,166.7,289075,132,242.9,176000,411,149.2,200000,163,181.8,301500,282,162.8,240000,378,150.0,255000,236,192.5,140000,254,143.6,143000,278,147.7,274995,207943,157.1,154.1
Q2 2023,579380,290,176.9,265000,75,222.7,182625,386,154.8,195000,123,177.3,330000,275,178.1,250000,379,156.3,254000,252,191.7,158500,204,162.6,155500,236,160.6,275000,196532,157.1,154.1
Q3 2023,517500,518,158.0,290126,57,243.8,180000,360,152.5,210000,141,190.9,315000,295,170.0,249076,450,155.7,265250,321,200.2,175385,251,179.9,162000,241,167.3,285000,229559,162.9,159.7
Q4 2023,470000,331,143.5,241000,49,202.5,171135,402,145.0,227750,130,207.0,322250,272,174.0,258000,490,161.3,249975,266,188.7,170000,255,174.4,161400,303,166.6,275000,222710,157.1,154.1
Q1 2024,494000,324,150.8,212000,37,178.2,172795,348,146.4,196000,151,178.2,326000,282,176.0,240250,372,150.2,269495,265,203.4,151498,258,155.4,149995,231,154.9,270000,191153,154.3,151.3
Q2 2024,474762,452,145.0,215000,37,180.7,177500,356,150.4,297160,316,270.1,308000,305,166.3,256248,446,160.2,260000,265,196.2,159500,270,163.6,162450,336,167.7,278000,217903,158.9,155.7
Q3 2024,535000,413,163.4,239750,86,201.5,177500,423,150.4,300000,297,272.7,350000,350,188.9,260000,492,162.5,249450,328,188.3,175000,306,179.5,177450,303,183.2,288500,248778,164.9,161.6
Q4 2024,500000,445,152.7,250000,97,210.1,187000,413,158.5,215000,193,195.5,308450,381,166.5,279475,504,174.7,240500,354,181.5,178000,277,182.6,165000,341,170.4,285000,266465,162.9,159.7
Q1 2025,520000,476,158.8,247500,111,208.0,190000,477,161.0,225000,163,204.5,350000,412,188.9,267500,495,167.2,250000,401,188.7,163250,232,167.4,165000,349,170.4,300000,288810,171.4,168.1
Q2 2025,570000,253,174.0,265000,47,222.7,180000,387,152.5,220000,119,200.0,338750,308,182.9,251250,348,157.0,225000,280,169.8,145000,157,148.7,164000,270,169.3,265000,181508,151.4,148.5
Q3 2025,550000,315,167.9,241062,56,202.6,187000,343,158.5,200000,144,181.8,327500,294,176.8,249950,367,156.2,260000,294,196.2,165000,162,169.2,163250,238,168.6,285000,215622,162.9,159.7
Q4 2025,499030,279,152.4,180000,33,151.3,200000,365,169.5,175000,117,159.1,305000,250,164.6,250000,321,156.3,269000,228,203.0,140000,168,143.6,159500,211,164.7,280000,191406,160.0,156.9
Q1 2026,420000,183,128.2,197500,20,166.0,190000,244,161.0,214000,97,194.5,301000,201,162.5,249500,244,155.9,260000,164,196.2,160000,138,164.1,160000,174,165.2,275000,132813,157.1,154.1
