iso,year,burned_ha,retrieved_utc
HRV,2023,2768,2026-07-30T11:28:45+00:00
HRV,2024,15886,2026-07-30T11:28:45+00:00
HRV,2025,3380,2026-07-30T11:28:45+00:00
HRV,2026,3318,2026-07-30T11:28:45+00:00
HUN,2006,0,2026-07-30T11:28:45+00:00
HUN,2007,799,2026-07-30T11:28:45+00:00
HUN,2008,0,2026-07-30T11:28:45+00:00
HUN,2009,0,2026-07-30T11:28:45+00:00
HUN,2010,0,2026-07-30T11:28:45+00:00
HUN,2011,0,2026-07-30T11:28:45+00:00
HUN,2012,960,2026-07-30T11:28:45+00:00
HUN,2013,138,2026-07-30T11:28:45+00:00
HUN,2014,0,2026-07-30T11:28:45+00:00
HUN,2015,1610,2026-07-30T11:28:45+00:00
HUN,2016,0,2026-07-30T11:28:45+00:00
HUN,2017,458,2026-07-30T11:28:45+00:00
HUN,2018,96,2026-07-30T11:28:45+00:00
HUN,2019,528,2026-07-30T11:28:45+00:00
HUN,2020,265,2026-07-30T11:28:45+00:00
HUN,2021,565,2026-07-30T11:28:45+00:00
HUN,2022,7287,2026-07-30T11:28:45+00:00
HUN,2023,156,2026-07-30T11:28:45+00:00
HUN,2024,1141,2026-07-30T11:28:45+00:00
HUN,2025,666,2026-07-30T11:28:45+00:00
HUN,2026,508,2026-07-30T11:28:45+00:00
IRL,2006,0,2026-07-30T11:28:45+00:00
IRL,2007,0,2026-07-30T11:28:45+00:00
IRL,2008,0,2026-07-30T11:28:45+00:00
IRL,2009,0,2026-07-30T11:28:45+00:00
IRL,2010,0,2026-07-30T11:28:45+00:00
IRL,2011,16724,2026-07-30T11:28:45+00:00
IRL,2012,0,2026-07-30T11:28:45+00:00
IRL,2013,8211,2026-07-30T11:28:45+00:00
IRL,2014,141,2026-07-30T11:28:45+00:00
IRL,2015,6807,2026-07-30T11:28:45+00:00
IRL,2016,1177,2026-07-30T11:28:45+00:00
IRL,2017,7219,2026-07-30T10:18:57+00:00
IRL,2018,2840,2026-07-30T11:28:45+00:00
IRL,2019,2820,2026-07-30T11:28:45+00:00
IRL,2020,3103,2026-07-30T11:28:45+00:00
IRL,2021,3189,2026-07-30T11:28:45+00:00
IRL,2022,2982,2026-07-30T11:28:45+00:00
IRL,2023,4302,2026-07-30T11:28:45+00:00
IRL,2024,133,2026-07-30T11:28:45+00:00
IRL,2025,4355,2026-07-30T11:28:45+00:00
IRL,2026,2450,2026-07-30T11:28:45+00:00
ITA,2006,9216,2026-07-30T11:28:45+00:00
ITA,2007,153481,2026-07-30T11:28:45+00:00
ITA,2008,24310,2026-07-30T11:28:45+00:00
ITA,2009,54809,2026-07-30T11:28:45+00:00
ITA,2010,34280,2026-07-30T11:28:45+00:00
ITA,2011,36997,2026-07-30T11:28:45+00:00
ITA,2012,82856,2026-07-30T11:28:45+00:00
ITA,2013,15776,2026-07-30T11:28:45+00:00
ITA,2014,13176,2026-07-30T11:28:45+00:00
ITA,2015,7773,2026-07-30T11:28:45+00:00
ITA,2016,35246,2026-07-30T11:28:45+00:00
ITA,2017,140214,2026-07-30T11:28:45+00:00
